Data;Confirmados;Obitos
19/06/2020;800;37
20/06/2020;838;38
21/06/2020;862;40
22/06/2020;884;46
23/06/2020;999;48
24/06/2020;1056;54
25/06/2020;1161;55
26/06/2020;1260;57
27/06/2020;1320;60
28/06/2020;1380;62
29/06/2020;1396;66
30/06/2020;1547;68
01/07/2020;1615;70
02/07/2020;1671;70
03/07/2020;1891;72
04/07/2020;1956;76
05/07/2020;1996;77
06/07/2020;2093;80
07/07/2020;2269;83
08/07/2020;2436;88
09/07/2020;2507;90
10/07/2020;2681;92
11/07/2020;2775;95
12/07/2020;2783;96
13/07/2020;2852;100
14/07/2020;3038;102
15/07/2020;3308;105
16/07/2020;3568;110
17/07/2020;3804;110
18/07/2020;3913;113
19/07/2020;3947;114
20/07/2020;3975;120
21/07/2020;4151;124
22/07/2020;4344;128
23/07/2020;4603;129
24/07/2020;4809;130
25/07/2020;4909;136
26/07/2020;4926;140
27/07/2020;4985;142
28/07/2020;5185;148
29/07/2020;5387;148
30/07/2020;5574;155
31/07/2020;5697;157
01/07/2020;5769;161
